article_title,country,revision_id,population,region,article_quality
Augusto Ximeno de Villeroy,Brazil,1216910276,204.0,SOUTH AMERICA,Stub
André Zacharow,Brazil,1188242249,204.0,SOUTH AMERICA,Stub
Murilo Zauith,Brazil,1191804969,204.0,SOUTH AMERICA,Start
Zeca do PT,Brazil,1232505950,204.0,SOUTH AMERICA,Start
Aleksandar Alekov,Bulgaria,1215311752,6.4,EASTERN EUROPE,Start
Anyu Angelov,Bulgaria,1215311929,6.4,EASTERN EUROPE,Start
Atanas Zapryanov,Bulgaria,1241175591,6.4,EASTERN EUROPE,Stub
Atanas Atanasov (politician born 1990),Bulgaria,1236766093,6.4,EASTERN EUROPE,Start
Atanas Atanasov (politician),Bulgaria,1239086809,6.4,EASTERN EUROPE,C
Hristo Atanassov,Bulgaria,1215320743,6.4,EASTERN EUROPE,Start
Jonas Basanavičius,Bulgaria,1238466176,6.4,EASTERN EUROPE,FA
Tsvetko Boboshevski,Bulgaria,1222513400,6.4,EASTERN EUROPE,Stub
Alexander Bogoridi,Bulgaria,1242153001,6.4,EASTERN EUROPE,Start
Chairman (President) of Bulgaria,Bulgaria,1227609197,6.4,EASTERN EUROPE,C
Dzhevdet Chakarov,Bulgaria,1245989144,6.4,EASTERN EUROPE,Stub
Vasil Chichibaba,Bulgaria,1215313341,6.4,EASTERN EUROPE,Start
Lea Cohen,Bulgaria,1215313537,6.4,EASTERN EUROPE,C
Vladimir Damgov,Bulgaria,1215314052,6.4,EASTERN EUROPE,Start
Stanislav Daskalov,Bulgaria,1236020876,6.4,EASTERN EUROPE,Stub
Stefan Dimitrov (politician),Bulgaria,1249080975,6.4,EASTERN EUROPE,Stub
Ivan Dimov (scientist),Bulgaria,1215314240,6.4,EASTERN EUROPE,Start
Valentin Fortunov,Bulgaria,1215314438,6.4,EASTERN EUROPE,Start
Tsoncho Ganev,Bulgaria,1240457984,6.4,EASTERN EUROPE,Stub
Georgi Gvozdeykov,Bulgaria,1243679989,6.4,EASTERN EUROPE,Stub
Goritsa Grancharova,Bulgaria,1244496816,6.4,EASTERN EUROPE,GA
Ivancho Hadzhipenchovich,Bulgaria,1215314724,6.4,EASTERN EUROPE,Start
Ivan Demerdzhiev,Bulgaria,1246703703,6.4,EASTERN EUROPE,Stub
Aleksi Ivanov,Bulgaria,1215314827,6.4,EASTERN EUROPE,Start
Grozdan Karadzhov,Bulgaria,1250148087,6.4,EASTERN EUROPE,Start
Vladimir Karolev,Bulgaria,1183947838,6.4,EASTERN EUROPE,Start
Georgi Kirkov,Bulgaria,1215315466,6.4,EASTERN EUROPE,Start
Spiro Kitinchev,Bulgaria,1244548670,6.4,EASTERN EUROPE,C
Ivan Kondov,Bulgaria,1244791314,6.4,EASTERN EUROPE,Stub
Kostadin Kostadinov (professor),Bulgaria,1215315664,6.4,EASTERN EUROPE,Start
Gavril Krastevich,Bulgaria,1242153020,6.4,EASTERN EUROPE,Stub
Petar Kulenski,Bulgaria,1236793256,6.4,EASTERN EUROPE,Stub
Lazar Lazarov,Bulgaria,1215860047,6.4,EASTERN EUROPE,Stub
Nikola Lazarov,Bulgaria,1246693713,6.4,EASTERN EUROPE,B
Ivan Marazov,Bulgaria,1215315878,6.4,EASTERN EUROPE,Stub
Venko Markovski,Bulgaria,1235730767,6.4,EASTERN EUROPE,C
Yakov Matakiev,Bulgaria,1180593616,6.4,EASTERN EUROPE,Start
Ilian Mihov,Bulgaria,1243605333,6.4,EASTERN EUROPE,Start
Raya Nazaryan,Bulgaria,1241562603,6.4,EASTERN EUROPE,Stub
Nikolay Milkov,Bulgaria,1159601677,6.4,EASTERN EUROPE,Stub
Plamen Panayotov,Bulgaria,1133046866,6.4,EASTERN EUROPE,Stub
Vladislav Panev,Bulgaria,1236796256,6.4,EASTERN EUROPE,Stub
Asparuh Panov,Bulgaria,1022365931,6.4,EASTERN EUROPE,Stub
Atanas Pekanov,Bulgaria,1211256598,6.4,EASTERN EUROPE,C
Sasho Penov,Bulgaria,1208372103,6.4,EASTERN EUROPE,Stub
Lyudmila Petkova,Bulgaria,1240500207,6.4,EASTERN EUROPE,Stub
Hristo Petrov,Bulgaria,1242211308,6.4,EASTERN EUROPE,Stub
Rosen Plevneliev,Bulgaria,1243979008,6.4,EASTERN EUROPE,C
Aleksandur Pulev,Bulgaria,1192998630,6.4,EASTERN EUROPE,Stub
Denitsa Simeonova,Bulgaria,1236772129,6.4,EASTERN EUROPE,Stub
Ivan Stanchov,Bulgaria,1189228353,6.4,EASTERN EUROPE,Stub
Kalin Stoyanov,Bulgaria,1250344595,6.4,EASTERN EUROPE,GA
Stanislav Stoyanov (politician),Bulgaria,1245317002,6.4,EASTERN EUROPE,Stub
Dragomir Stoynev,Bulgaria,1236777307,6.4,EASTERN EUROPE,Stub
Teodora Genchovska,Bulgaria,1217932516,6.4,EASTERN EUROPE,Stub
Daniel Valchev,Bulgaria,1227658311,6.4,EASTERN EUROPE,Stub
Krasimir Valchev,Bulgaria,1237335760,6.4,EASTERN EUROPE,Stub
Velko Valkanov,Bulgaria,1211235525,6.4,EASTERN EUROPE,Stub
Ventsislav Varbanov,Bulgaria,1236795881,6.4,EASTERN EUROPE,Stub
Damyan Velchev,Bulgaria,1241904410,6.4,EASTERN EUROPE,Start
Svetoslav Vitkov,Bulgaria,1243474576,6.4,EASTERN EUROPE,Start
Mincho Yovchev,Bulgaria,1101186643,6.4,EASTERN EUROPE,Stub
Atanas Zafirov,Bulgaria,1248790402,6.4,EASTERN EUROPE,C
Martin Zaimov,Bulgaria,1187122509,6.4,EASTERN EUROPE,Start
Dragomir Zakov,Bulgaria,1177150880,6.4,EASTERN EUROPE,Start
Nayden Zelenogorski,Bulgaria,1181274805,6.4,EASTERN EUROPE,Stub
Boureima Badini,Burkina Faso,1188858837,22.9,WESTERN AFRICA,Start
Blaise Bassoleth,Burkina Faso,1194947033,22.9,WESTERN AFRICA,Stub
Nazi Boni,Burkina Faso,1165935460,22.9,WESTERN AFRICA,Start
Eric Bougouma,Burkina Faso,1224650590,22.9,WESTERN AFRICA,Start
François Compaoré,Burkina Faso,1231273948,22.9,WESTERN AFRICA,Start
Daniel Ouezzin Coulibaly,Burkina Faso,1240877830,22.9,WESTERN AFRICA,Stub
Toubé Clément Dakio,Burkina Faso,1139020686,22.9,WESTERN AFRICA,Stub
Frédéric Guirma,Burkina Faso,1196782670,22.9,WESTERN AFRICA,Stub
Emile Ilboudo,Burkina Faso,1188858797,22.9,WESTERN AFRICA,Stub
Zinda Kaboré,Burkina Faso,1240877157,22.9,WESTERN AFRICA,Stub
Christophe Kalenzaga,Burkina Faso,1188339738,22.9,WESTERN AFRICA,Start
Joséphine Drabo Kanyoulou,Burkina Faso,1188917017,22.9,WESTERN AFRICA,Stub
Joséphine Ki-Zerbo,Burkina Faso,1108677667,22.9,WESTERN AFRICA,Stub
Begnon-Damien Koné,Burkina Faso,1177650476,22.9,WESTERN AFRICA,Stub
Yabre Juliette Kongo,Burkina Faso,1219061952,22.9,WESTERN AFRICA,Start
Kouamé Lougué,Burkina Faso,1188339825,22.9,WESTERN AFRICA,Stub
Jean-Baptiste Natama,Burkina Faso,1115090605,22.9,WESTERN AFRICA,Stub
Jean-Baptiste Ouédraogo,Burkina Faso,1241452397,22.9,WESTERN AFRICA,FA
Mamadou Ouédraogo,Burkina Faso,1186807529,22.9,WESTERN AFRICA,Stub
Ousmane Bougouma,Burkina Faso,1220964955,22.9,WESTERN AFRICA,Start
Pargui Emile Paré,Burkina Faso,1227770299,22.9,WESTERN AFRICA,Stub
Filippe Savadogo,Burkina Faso,1099231025,22.9,WESTERN AFRICA,Stub
Nouhoun Sigue,Burkina Faso,1193864167,22.9,WESTERN AFRICA,Stub
Diongolo Traore,Burkina Faso,1177650766,22.9,WESTERN AFRICA,Stub
Maurice Yaméogo,Burkina Faso,1203177077,22.9,WESTERN AFRICA,FA
Saye Zerbo,Burkina Faso,1236924018,22.9,WESTERN AFRICA,Start
Aung Than Oo,Myanmar,1226314813,55.4,SOUTHEAST ASIA,Stub
Aye Ko (artist),Myanmar,1151370568,55.4,SOUTHEAST ASIA,Stub
Ba Shin,Myanmar,1087648145,55.4,SOUTHEAST ASIA,C
Bao Youxiang,Myanmar,1231942275,55.4,SOUTHEAST ASIA,C
Bawk Ja,Myanmar,1210082543,55.4,SOUTHEAST ASIA,Start
Cheery Zahau,Myanmar,1245373592,55.4,SOUTHEAST ASIA,C
Oscar de Glanville,Myanmar,1216156762,55.4,SOUTHEAST ASIA,Start
M. A. Gaffar,Myanmar,1189278863,55.4,SOUTHEAST ASIA,C
Han Tha Myint,Myanmar,1177347217,55.4,SOUTHEAST ASIA,Start
Hla Maung Shwe,Myanmar,1144174107,55.4,SOUTHEAST ASIA,Stub
Hso Khan Pha,Myanmar,1210083613,55.4,SOUTHEAST ASIA,C
Nai Htaw Sorn,Myanmar,1210083144,55.4,SOUTHEAST ASIA,Start
Htay Aung (businessman),Myanmar,1169933380,55.4,SOUTHEAST ASIA,Start
Htin Linn Aung,Myanmar,1245373600,55.4,SOUTHEAST ASIA,Start
Ja Htoi Pan,Myanmar,1250704546,55.4,SOUTHEAST ASIA,Stub
Khin Kyaw Han,Myanmar,1036478390,55.4,SOUTHEAST ASIA,Stub
Khin Ma Ma Myo,Myanmar,1227269939,55.4,SOUTHEAST ASIA,Stub
Khin Maung Swe,Myanmar,1234386190,55.4,SOUTHEAST ASIA,Start
Khun San Lwin,Myanmar,1210189937,55.4,SOUTHEAST ASIA,Stub
Ko Ni,Myanmar,1245412082,55.4,SOUTHEAST ASIA,C
Thakin Kodaw Hmaing,Myanmar,1221126119,55.4,SOUTHEAST ASIA,C
Kwe Te No,Myanmar,1207433410,55.4,SOUTHEAST ASIA,Stub
Sao Kya Seng,Myanmar,1250357483,55.4,SOUTHEAST ASIA,C
Kyaw Moe Tun,Myanmar,1203399746,55.4,SOUTHEAST ASIA,GA
Kyaw Tun,Myanmar,1246524261,55.4,SOUTHEAST ASIA,C
Kyaw Zaw Oo,Myanmar,1227561394,55.4,SOUTHEAST ASIA,C
Duwa Lashi La,Myanmar,1250281251,55.4,SOUTHEAST ASIA,C
Lian Hmung Sakhong,Myanmar,1245373615,55.4,SOUTHEAST ASIA,Start
Sultan Mahmud (minister),Myanmar,1240728343,55.4,SOUTHEAST ASIA,C
Maran Brang Seng,Myanmar,1239820808,55.4,SOUTHEAST ASIA,Start
Gani Markan,Myanmar,1205964987,55.4,SOUTHEAST ASIA,Stub
Maw Htun Aung,Myanmar,1245372940,55.4,SOUTHEAST ASIA,C
"Myint Swe (politician, born 1965)",Myanmar,1250134288,55.4,SOUTHEAST ASIA,Stub
Myo Yan Naung Thein,Myanmar,1169934161,55.4,SOUTHEAST ASIA,Start
Naw Ohn Hla,Myanmar,1245373645,55.4,SOUTHEAST ASIA,C
Nay Myo Wai,Myanmar,1065794809,55.4,SOUTHEAST ASIA,Start
Nay Zin Lat,Myanmar,1140270731,55.4,SOUTHEAST ASIA,Stub
Kyaw Ni,Myanmar,1197273116,55.4,SOUTHEAST ASIA,Stub
Nyi Sein,Myanmar,1245373470,55.4,SOUTHEAST ASIA,Stub
Nyo Nyo Thin,Myanmar,1169933560,55.4,SOUTHEAST ASIA,Start
Pu Pa Thang,Myanmar,1248165000,55.4,SOUTHEAST ASIA,Stub
San Tun,Myanmar,1245372381,55.4,SOUTHEAST ASIA,Stub
Sao Sanda,Myanmar,1210083781,55.4,SOUTHEAST ASIA,Start
Sasa (politician),Myanmar,1245373652,55.4,SOUTHEAST ASIA,C
Saw Sa,Myanmar,1087057198,55.4,SOUTHEAST ASIA,C
Saya Gyi U Nu,Myanmar,1235897720,55.4,SOUTHEAST ASIA,GA
"Sein Win (politician, born 1944)",Myanmar,1147278693,55.4,SOUTHEAST ASIA,Start
Mya Lay Sein,Myanmar,1222232537,55.4,SOUTHEAST ASIA,Start
Sao Seng Suk,Myanmar,1210083818,55.4,SOUTHEAST ASIA,Stub
Shwe Ohn,Myanmar,1219791322,55.4,SOUTHEAST ASIA,Stub
Soe Moe Hlaing,Myanmar,1177185207,55.4,SOUTHEAST ASIA,Start
Sultan Ahmed (Burmese politician),Myanmar,1214544169,55.4,SOUTHEAST ASIA,Start
Naw Susanna Hla Hla Soe,Myanmar,1245373664,55.4,SOUTHEAST ASIA,Start
Tan Yu Sai,Myanmar,987791661,55.4,SOUTHEAST ASIA,Stub
Taw Phaya Galay,Myanmar,1239004774,55.4,SOUTHEAST ASIA,C
Tayzar San,Myanmar,1227692854,55.4,SOUTHEAST ASIA,Start
Than Nyein,Myanmar,1219791544,55.4,SOUTHEAST ASIA,Start
Than Sein,Myanmar,1245372417,55.4,SOUTHEAST ASIA,Stub
Than Win,Myanmar,1245373365,55.4,SOUTHEAST ASIA,Start
Thaung Tun (politician),Myanmar,1245373050,55.4,SOUTHEAST ASIA,Start
Baganset U Thaw,Myanmar,1245618789,55.4,SOUTHEAST ASIA,C
Thein Maung,Myanmar,1238454181,55.4,SOUTHEAST ASIA,Start
Thein Nyunt (politician),Myanmar,1234388263,55.4,SOUTHEAST ASIA,Start
Thet Win Aung,Myanmar,1170350688,55.4,SOUTHEAST ASIA,Start
Thirty Comrades,Myanmar,1242193633,55.4,SOUTHEAST ASIA,C
Tin Aye,Myanmar,1239526756,55.4,SOUTHEAST ASIA,Stub
Tu Hkawng,Myanmar,1245373670,55.4,SOUTHEAST ASIA,Start
Wai Moe Naing,Myanmar,1142166678,55.4,SOUTHEAST ASIA,Start
Win Ko Ko Latt,Myanmar,1243165916,55.4,SOUTHEAST ASIA,Start
Maung Wuntha,Myanmar,1192257938,55.4,SOUTHEAST ASIA,Start
Yawd Serk,Myanmar,1250459738,55.4,SOUTHEAST ASIA,Stub
Za Hlei Thang,Myanmar,1250853841,55.4,SOUTHEAST ASIA,C
Zaw Htay,Myanmar,1220263916,55.4,SOUTHEAST ASIA,C
Zura Begum,Myanmar,1207585856,55.4,SOUTHEAST ASIA,Start
Pierre Baranyanka,Burundi,1227694880,13.2,EASTERN AFRICA,GA
Joseph Biroli,Burundi,1244607980,13.2,EASTERN AFRICA,GA
Evelyne Butoyi,Burundi,1226287594,13.2,EASTERN AFRICA,Stub
Joseph Cimpaye,Burundi,1247008320,13.2,EASTERN AFRICA,C
Edouard Nduwimana,Burundi,1249889245,13.2,EASTERN AFRICA,Stub
Gervais Nyangoma,Burundi,1172072408,13.2,EASTERN AFRICA,Start
Gérard Mfuranzima,Burundi,1059652996,13.2,EASTERN AFRICA,Start
Cyrille Ndayirukiye,Burundi,1235862392,13.2,EASTERN AFRICA,Stub
Révérien Ndikuriyo,Burundi,1231164333,13.2,EASTERN AFRICA,Start
Tharcisse Niyongabo,Burundi,1218269209,13.2,EASTERN AFRICA,Stub
Gabriel Nizigama,Burundi,1193500276,13.2,EASTERN AFRICA,Stub
Jean-Baptiste Ntidendereza,Burundi,1176698590,13.2,EASTERN AFRICA,C
Ririkumutima,Burundi,1233102698,13.2,EASTERN AFRICA,Start
Agathon Rwasa,Burundi,1227287425,13.2,EASTERN AFRICA,Start
Imelde Sabushimike,Burundi,1243757340,13.2,EASTERN AFRICA,Start
Alexis Sinduhije,Burundi,1227751790,13.2,EASTERN AFRICA,GA
Ang Vong Vathana,Cambodia,1242000913,17.0,SOUTHEAST ASIA,Stub
Samheng Boros,Cambodia,1217047991,17.0,SOUTHEAST ASIA,Start
Bun Chanmol,Cambodia,1229174400,17.0,SOUTHEAST ASIA,C
Chem Snguon,Cambodia,1243810904,17.0,SOUTHEAST ASIA,Stub
Chhan Sokhom,Cambodia,1243810911,17.0,SOUTHEAST ASIA,Stub
Chuon Saodi,Cambodia,1243810923,17.0,SOUTHEAST ASIA,Stub
Duong Sam Ol,Cambodia,1250510333,17.0,SOUTHEAST ASIA,Stub
Ieu Koeus,Cambodia,1234647985,17.0,SOUTHEAST ASIA,Start
Ith Samheng,Cambodia,1246668602,17.0,SOUTHEAST ASIA,Start
Khem Veasna,Cambodia,1210437333,17.0,SOUTHEAST ASIA,C
Kou Roun,Cambodia,1243810993,17.0,SOUTHEAST ASIA,Stub
Daran Kravanh,Cambodia,1096672232,17.0,SOUTHEAST ASIA,Stub
Lon Nil,Cambodia,1220226778,17.0,SOUTHEAST ASIA,Start
Mao Ayuth,Cambodia,1171497670,17.0,SOUTHEAST ASIA,C
Neav Sithong,Cambodia,1243811022,17.0,SOUTHEAST ASIA,Stub
Ngoun Chhay Kry,Cambodia,1243811027,17.0,SOUTHEAST ASIA,Stub
Norodom Norindeth,Cambodia,1220843919,17.0,SOUTHEAST ASIA,Start
Norodom Phurissara,Cambodia,1243811051,17.0,SOUTHEAST ASIA,Start
Oung Ouen,Cambodia,1079121769,17.0,SOUTHEAST ASIA,Stub
Phlek Chhat,Cambodia,1244202380,17.0,SOUTHEAST ASIA,Stub
Ponn Vongs Vaddey,Cambodia,1243811080,17.0,SOUTHEAST ASIA,Stub
Samheng Bora,Cambodia,1194560189,17.0,SOUTHEAST ASIA,Start
Say Phouthang,Cambodia,1174776111,17.0,SOUTHEAST ASIA,C
Sisowath Youtevong,Cambodia,1221932398,17.0,SOUTHEAST ASIA,Start
So Nem,Cambodia,1243811102,17.0,SOUTHEAST ASIA,Stub
Tep Hun,Cambodia,1243811136,17.0,SOUTHEAST ASIA,Stub
Tep Phan,Cambodia,1059565834,17.0,SOUTHEAST ASIA,Stub
Tep Vattho,Cambodia,1243808497,17.0,SOUTHEAST ASIA,Start
Thiounn,Cambodia,1178861440,17.0,SOUTHEAST ASIA,GA
Touch Kim,Cambodia,1243811146,17.0,SOUTHEAST ASIA,Stub
Truong Cang,Cambodia,1157572449,17.0,SOUTHEAST ASIA,Start
Tuot Saron,Cambodia,1171902721,17.0,SOUTHEAST ASIA,Start
Uch Ven,Cambodia,1178094497,17.0,SOUTHEAST ASIA,Stub
Uk Vithun,Cambodia,1243811158,17.0,SOUTHEAST ASIA,Stub
Ung Hong Sath,Cambodia,1250884183,17.0,SOUTHEAST ASIA,Stub
Veng Sakhon,Cambodia,1249720857,17.0,SOUTHEAST ASIA,Stub
Yat Hwaidi,Cambodia,1130454039,17.0,SOUTHEAST ASIA,Stub
Marie Catherine Abena,Cameroon,1241219287,28.1,MIDDLE AFRICA,Start
Haman Adama,Cameroon,1246435409,28.1,MIDDLE AFRICA,Stub
Vincent de Paul Ahanda,Cameroon,1249317685,28.1,MIDDLE AFRICA,Stub
Ahmadou Ahidjo,Cameroon,1250594773,28.1,MIDDLE AFRICA,FA
Joseph Beti Assomo,Cameroon,1229939964,28.1,MIDDLE AFRICA,Start
Charles Ateba Eyene,Cameroon,1234063279,28.1,MIDDLE AFRICA,Start
Olivier Bilé,Cameroon,1243540290,28.1,MIDDLE AFRICA,Stub
Dsamou Micheline,Cameroon,1223788177,28.1,MIDDLE AFRICA,Start
Lawrence Fonka Shang,Cameroon,1041211681,28.1,MIDDLE AFRICA,Stub
Victor Fotso,Cameroon,1102345166,28.1,MIDDLE AFRICA,Stub
Séraphin Magloire Fouda,Cameroon,1009662257,28.1,MIDDLE AFRICA,Stub
Lucy Gwanmesia,Cameroon,1221349803,28.1,MIDDLE AFRICA,Start
Njomgang Isaac,Cameroon,1108440685,28.1,MIDDLE AFRICA,Start
René Jam Afane,Cameroon,1231186334,28.1,MIDDLE AFRICA,Start
Augustine Ngom Jua,Cameroon,1249031959,28.1,MIDDLE AFRICA,Start
Paul Monyonge Kale,Cameroon,1214426931,28.1,MIDDLE AFRICA,Start
Enanga Kebbi,Cameroon,1219533774,28.1,MIDDLE AFRICA,Start
Pierre Kotouo,Cameroon,1177650482,28.1,MIDDLE AFRICA,Stub
Laurentine Mbede,Cameroon,1240148045,28.1,MIDDLE AFRICA,Start
Albert Mbida,Cameroon,1230583945,28.1,MIDDLE AFRICA,Stub
Ibrahim Mbombo Njoya,Cameroon,1226331859,28.1,MIDDLE AFRICA,Start
Clémentine Ananga Messina,Cameroon,1217696496,28.1,MIDDLE AFRICA,Start
Ousmane Mey,Cameroon,1017007525,28.1,MIDDLE AFRICA,Start
Victor Mukete,Cameroon,1250196607,28.1,MIDDLE AFRICA,Start
Bernard Muna,Cameroon,1108720863,28.1,MIDDLE AFRICA,Start
Jerôme Mvondo,Cameroon,1250160956,28.1,MIDDLE AFRICA,Stub
Anne Marthe Mvoto,Cameroon,1225861548,28.1,MIDDLE AFRICA,Start
Hermine Patricia Tomaïno Ndam Njoya,Cameroon,1240147077,28.1,MIDDLE AFRICA,C
Pierre Ngayewang,Cameroon,1177650598,28.1,MIDDLE AFRICA,Stub
John Ebong Ngole,Cameroon,1151361877,28.1,MIDDLE AFRICA,Stub
Xavier Ngoubeyou,Cameroon,1242530072,28.1,MIDDLE AFRICA,Stub
Victor Anomah Ngu,Cameroon,1152439979,28.1,MIDDLE AFRICA,Start
Julienne Niat,Cameroon,1227015746,28.1,MIDDLE AFRICA,Start
Dorothy L. Njeuma,Cameroon,1240137941,28.1,MIDDLE AFRICA,Start
Bernard Njonga,Cameroon,1098278415,28.1,MIDDLE AFRICA,Stub
Arouna N'Joya,Cameroon,1177650613,28.1,MIDDLE AFRICA,Stub
Edouard Nomo-Ongolo,Cameroon,1146536611,28.1,MIDDLE AFRICA,Stub
Antoine Ntsimi,Cameroon,1180554993,28.1,MIDDLE AFRICA,C
Paul Pondi,Cameroon,1242817206,28.1,MIDDLE AFRICA,C
Félix Sabal Lecco (politician),Cameroon,1148553193,28.1,MIDDLE AFRICA,C
François Sengat-Kuo,Cameroon,1199699881,28.1,MIDDLE AFRICA,Stub
Madeleine Tchuente,Cameroon,1225866384,28.1,MIDDLE AFRICA,Start
Félix Tonye Mbog,Cameroon,1226983598,28.1,MIDDLE AFRICA,Start
Kah Walla,Cameroon,1239668367,28.1,MIDDLE AFRICA,GA
Zakiatou Djamo,Cameroon,1235834775,28.1,MIDDLE AFRICA,Stub
José Manuel Gomes Andrade,Cape Verde,1216083405,0.6,WESTERN AFRICA,Stub
Honório Barreto,Cape Verde,1249443443,0.6,WESTERN AFRICA,Start
Pedro Fernandes Lopes,Cape Verde,1191590141,0.6,WESTERN AFRICA,C
Januaria Moreira,Cape Verde,1225864918,0.6,WESTERN AFRICA,Start
Paulo Rocha (Cape Verde politician),Cape Verde,1177459663,0.6,WESTERN AFRICA,Stub
Gilberto Correia Carvalho Silva,Cape Verde,1101613548,0.6,WESTERN AFRICA,Stub
Luís Filipe Tavares,Cape Verde,1213485215,0.6,WESTERN AFRICA,Start
Carlos de Vasconcelos,Cape Verde,1216635216,0.6,WESTERN AFRICA,Start
Abraão Vicente,Cape Verde,1213485569,0.6,WESTERN AFRICA,Start
Jean-Bédel Bokassa,Central African Republic,1248397829,6.2,MIDDLE AFRICA,FA
Antoine Darlan,Central African Republic,1217196175,6.2,MIDDLE AFRICA,C
Georges Darlan,Central African Republic,1211998269,6.2,MIDDLE AFRICA,C
Catherine Denguiadé,Central African Republic,1242454262,6.2,MIDDLE AFRICA,Start
Henri-Marie Dondra,Central African Republic,1221994311,6.2,MIDDLE AFRICA,Stub
Saif Durbar,Central African Republic,1240973609,6.2,MIDDLE AFRICA,C
Gaston N'Guérékata,Central African Republic,1239810898,6.2,MIDDLE AFRICA,C
Jean-Benoît Gonda,Central African Republic,1159473113,6.2,MIDDLE AFRICA,Stub
Hassan Al Habib,Central African Republic,1140307699,6.2,MIDDLE AFRICA,Stub
Rodolphe Iddi Lala,Central African Republic,1242127344,6.2,MIDDLE AFRICA,C
Désiré Kolingba,Central African Republic,1226461295,6.2,MIDDLE AFRICA,Stub
Tchakpa M'brede,Central African Republic,1246969392,6.2,MIDDLE AFRICA,Start
Karim Meckassoua,Central African Republic,1224144854,6.2,MIDDLE AFRICA,Stub
Abakar Sabone,Central African Republic,1236990005,6.2,MIDDLE AFRICA,C
Levy Yakete,Central African Republic,1229277170,6.2,MIDDLE AFRICA,Stub
Achta Ahmat Bremé,Chad,1243871975,18.3,MIDDLE AFRICA,Stub
Kamougue Assoum,Chad,1195939436,18.3,MIDDLE AFRICA,Stub
Christian Georges Diguimbaye,Chad,1227146224,18.3,MIDDLE AFRICA,Stub
Firmin Djidingar,Chad,1191501257,18.3,MIDDLE AFRICA,Stub
Roger Djikisna,Chad,1175430342,18.3,MIDDLE AFRICA,Stub
Issa Doubragne,Chad,1236321102,18.3,MIDDLE AFRICA,Start
Moussa Faki,Chad,1247480258,18.3,MIDDLE AFRICA,C
Arabi El Goni,Chad,1185921742,18.3,MIDDLE AFRICA,Stub
Isabelle Kassire,Chad,1246170190,18.3,MIDDLE AFRICA,Stub
Oueddei Kichidemi,Chad,1162338564,18.3,MIDDLE AFRICA,Start
Alphonse Kotiga,Chad,1108077983,18.3,MIDDLE AFRICA,Stub
Baba Laddé,Chad,1207731827,18.3,MIDDLE AFRICA,C
Nadji Madou,Chad,872461806,18.3,MIDDLE AFRICA,Stub
Mahmoud Ali Seid,Chad,1231975933,18.3,MIDDLE AFRICA,Start
Mariam Mahamat Nour,Chad,1179344861,18.3,MIDDLE AFRICA,Stub
Laoukein Kourayo Médard,Chad,872513852,18.3,MIDDLE AFRICA,Stub
Abbo Nassour,Chad,1144389013,18.3,MIDDLE AFRICA,C
Tahir Hamid Nguilin,Chad,1085015143,18.3,MIDDLE AFRICA,Stub
Quatre Sou Quatre,Chad,1193126229,18.3,MIDDLE AFRICA,Stub
François Tombalbaye,Chad,1250337903,18.3,MIDDLE AFRICA,C
Saadie Goukouni Weddeye,Chad,1235451008,18.3,MIDDLE AFRICA,Start
Alejandro Serani Burgos,Chile,1232887754,20.0,SOUTH AMERICA,C
Beltrán Mathieu,Chile,1240166319,20.0,SOUTH AMERICA,B
Alexandra Benado,Chile,1247622508,20.0,SOUTH AMERICA,Start
Rolando Calderón,Chile,1241145448,20.0,SOUTH AMERICA,Stub
Eugenio Cantuarias,Chile,1246582918,20.0,SOUTH AMERICA,Stub
Carlos Balmaceda Saavedra,Chile,1246583396,20.0,SOUTH AMERICA,Start
Jorge Cauas,Chile,1216583569,20.0,SOUTH AMERICA,Stub
Alberto Cooper,Chile,1246582150,20.0,SOUTH AMERICA,Stub
Fernando Cordero Rusque,Chile,1246582796,20.0,SOUTH AMERICA,Stub
Juan de Dios Correa de Saa,Chile,1246583602,20.0,SOUTH AMERICA,Stub
María Silvia Correa Marín,Chile,1233099485,20.0,SOUTH AMERICA,Start
Álvaro Covarrubias,Chile,1246583605,20.0,SOUTH AMERICA,Start
Pedro Nolasco Cruz Vergara,Chile,1236685196,20.0,SOUTH AMERICA,C
Jose Fernandez Dubrock,Chile,1209556113,20.0,SOUTH AMERICA,Stub
Juan Egaña,Chile,1246583619,20.0,SOUTH AMERICA,Stub
Sergio Fernández Fernández,Chile,1246582974,20.0,SOUTH AMERICA,Stub
Ángel Flisfisch,Chile,1238013543,20.0,SOUTH AMERICA,Start
Jaime Gazmuri,Chile,1220158605,20.0,SOUTH AMERICA,C
Carlos González Márquez,Chile,1241138604,20.0,SOUTH AMERICA,Stub
"David Henríquez (footballer, born 1977)",Chile,1241826912,20.0,SOUTH AMERICA,Start
Alejandra Bravo Hidalgo,Chile,1210732533,20.0,SOUTH AMERICA,C
Checho Hirane,Chile,1232905225,20.0,SOUTH AMERICA,Stub
Ricardo Hormazábal,Chile,1241145426,20.0,SOUTH AMERICA,Stub
Aucán Huilcamán,Chile,1216869009,20.0,SOUTH AMERICA,Stub
Liliana Jadue,Chile,1218197818,20.0,SOUTH AMERICA,Start
Andrés Jouannet,Chile,1232904571,20.0,SOUTH AMERICA,Start
Antonio Leal Labrín,Chile,1240072329,20.0,SOUTH AMERICA,Stub
Graciela Mandujano,Chile,1246581836,20.0,SOUTH AMERICA,Start
Daniel Manouchehri,Chile,1225804893,20.0,SOUTH AMERICA,Start
